"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","song","album.x","song.title","song.id","artist","album.y","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","Date","Chart","Artist","Date2","album2","album.date"
"17",8,3,5,10,3,8,4,4,13,9,"Master Of Puppets","Master Of Puppets","Master Of Puppets (Remastered)","5cW3DEWYYv0tXZMwcUZNRg","Metallica","Master Of Puppets",0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,"audio_features","5cW3DEWYYv0tXZMwcUZNRg","spotify:track:5cW3DEWYYv0tXZMwcUZNRg","https://api.spotify.com/v1/tracks/5cW3DEWYYv0tXZMwcUZNRg","https://api.spotify.com/v1/audio-analysis/5cW3DEWYYv0tXZMwcUZNRg",515387,4,1986-03-03,29,"Metallica",1986,"Master Of Puppets","Master Of Puppets 1986"
"18",9,5,5,13,2,9,2,3,15,5,"The Thing That Should Not Be","Master Of Puppets","The Thing That Should Not Be (Remastered)","6ZertsLLGL2puI2Vj5iy5T","Metallica","Master Of Puppets",0.679,0.716,9,-10.14,1,0.0313,0.000108,0.349,0.126,0.485,111.827,"audio_features","6ZertsLLGL2puI2Vj5iy5T","spotify:track:6ZertsLLGL2puI2Vj5iy5T","https://api.spotify.com/v1/tracks/6ZertsLLGL2puI2Vj5iy5T","https://api.spotify.com/v1/audio-analysis/6ZertsLLGL2puI2Vj5iy5T",396107,4,1986-03-03,29,"Metallica",1986,"Master Of Puppets","Master Of Puppets 1986"
"19",12,5,8,14,3,13,4,6,20,4,"Disposable Heroes","Master Of Puppets","Disposable Heroes (Remastered)","2CbYOuq9uxqclV21HJaJ4B","Metallica","Master Of Puppets",0.264,0.931,4,-7.615,0,0.0928,4.75e-05,0.454,0.0897,0.414,90.246,"audio_features","2CbYOuq9uxqclV21HJaJ4B","spotify:track:2CbYOuq9uxqclV21HJaJ4B","https://api.spotify.com/v1/tracks/2CbYOuq9uxqclV21HJaJ4B","https://api.spotify.com/v1/audio-analysis/2CbYOuq9uxqclV21HJaJ4B",496627,4,1986-03-03,29,"Metallica",1986,"Master Of Puppets","Master Of Puppets 1986"
"20",4,7,4,3,6,4,4,4,10,10,"Leper Messiah","Master Of Puppets","Leper Messiah (Remastered)","6yyionnLDzrrSET4pGoFSX","Metallica","Master Of Puppets",0.38,0.8,4,-8.617,1,0.0695,5.19e-05,0.735,0.321,0.574,138.714,"audio_features","6yyionnLDzrrSET4pGoFSX","spotify:track:6yyionnLDzrrSET4pGoFSX","https://api.spotify.com/v1/tracks/6yyionnLDzrrSET4pGoFSX","https://api.spotify.com/v1/audio-analysis/6yyionnLDzrrSET4pGoFSX",339880,4,1986-03-03,29,"Metallica",1986,"Master Of Puppets","Master Of Puppets 1986"
"21",7,5,7,9,5,10,4,5,19,12,"Blackened","...And Justice For All","Blackened (Remastered)","0M1pfDTZGWC7cBuEx3FwwT","Metallica","...And Justice For All",0.435,0.853,4,-7.341,0,0.124,5.31e-05,0.00746,0.13,0.475,129.218,"audio_features","0M1pfDTZGWC7cBuEx3FwwT","spotify:track:0M1pfDTZGWC7cBuEx3FwwT","https://api.spotify.com/v1/tracks/0M1pfDTZGWC7cBuEx3FwwT","https://api.spotify.com/v1/audio-analysis/0M1pfDTZGWC7cBuEx3FwwT",402144,4,1988-09-07,6,"Metallica",1988,"...And Justice For All","...And Justice For All 1988"
"22",7,2,3,3,6,4,3,9,8,12,"Eye Of The Beholder","...And Justice For All","Eye of the Beholder (Remastered)","4pXvTZTJW5idks8XNc43jj","Metallica","...And Justice For All",0.639,0.838,11,-8.179,0,0.0453,0.00327,0.00714,0.0834,0.588,122.179,"audio_features","4pXvTZTJW5idks8XNc43jj","spotify:track:4pXvTZTJW5idks8XNc43jj","https://api.spotify.com/v1/tracks/4pXvTZTJW5idks8XNc43jj","https://api.spotify.com/v1/audio-analysis/4pXvTZTJW5idks8XNc43jj",385987,4,1988-09-07,6,"Metallica",1988,"...And Justice For All","...And Justice For All 1988"
"23",6,3,5,11,1,7,3,2,10,6,"One","...And Justice For All","One (Remastered)","3sRZqCxbnwiKKPe57WoT6S","Metallica","...And Justice For All",0.438,0.687,7,-9.15,1,0.0619,0.000668,0.0801,0.42,0.426,103.01,"audio_features","3sRZqCxbnwiKKPe57WoT6S","spotify:track:3sRZqCxbnwiKKPe57WoT6S","https://api.spotify.com/v1/tracks/3sRZqCxbnwiKKPe57WoT6S","https://api.spotify.com/v1/audio-analysis/3sRZqCxbnwiKKPe57WoT6S",446146,3,1988-09-07,6,"Metallica",1988,"...And Justice For All","...And Justice For All 1988"
"24",11,3,11,15,1,14,2,6,23,7,"The Shortest Straw","...And Justice For All","The Shortest Straw (Remastered)","3R7ajqVVdwGHAdLL1dK5cl","Metallica","...And Justice For All",0.432,0.906,9,-7.958,1,0.108,8.87e-05,0.0448,0.156,0.592,142.767,"audio_features","3R7ajqVVdwGHAdLL1dK5cl","spotify:track:3R7ajqVVdwGHAdLL1dK5cl","https://api.spotify.com/v1/tracks/3R7ajqVVdwGHAdLL1dK5cl","https://api.spotify.com/v1/audio-analysis/3R7ajqVVdwGHAdLL1dK5cl",395102,4,1988-09-07,6,"Metallica",1988,"...And Justice For All","...And Justice For All 1988"
"25",11,4,6,11,2,12,3,1,16,3,"Harvester Of Sorrow","...And Justice For All","Harvester of Sorrow (Remastered)","3IolN0Ae207i0Fr9IHuNbu","Metallica","...And Justice For All",0.656,0.864,4,-7.895,0,0.0414,0.000197,0.107,0.281,0.617,93.197,"audio_features","3IolN0Ae207i0Fr9IHuNbu","spotify:track:3IolN0Ae207i0Fr9IHuNbu","https://api.spotify.com/v1/tracks/3IolN0Ae207i0Fr9IHuNbu","https://api.spotify.com/v1/audio-analysis/3IolN0Ae207i0Fr9IHuNbu",345284,4,1988-09-07,6,"Metallica",1988,"...And Justice For All","...And Justice For All 1988"
"26",12,7,8,18,3,14,4,2,23,6,"The Frayed Ends Of Sanity","...And Justice For All","The Frayed Ends of Sanity (Remastered)","3GpWAuHTJn6BLzTQBrcBqY","Metallica","...And Justice For All",0.483,0.909,4,-7.296,0,0.0484,5.16e-05,0.0512,0.119,0.672,94.816,"audio_features","3GpWAuHTJn6BLzTQBrcBqY","spotify:track:3GpWAuHTJn6BLzTQBrcBqY","https://api.spotify.com/v1/tracks/3GpWAuHTJn6BLzTQBrcBqY","https://api.spotify.com/v1/audio-analysis/3GpWAuHTJn6BLzTQBrcBqY",463159,4,1988-09-07,6,"Metallica",1988,"...And Justice For All","...And Justice For All 1988"
"27",1,1,0,1,1,0,0,2,0,1,"To Live Is To Die","...And Justice For All","To Live Is to Die (Remastered)","1kI7gQPOHJRrQWMyDvYdUW","Metallica","...And Justice For All",0.432,0.624,11,-8.976,0,0.041,0.000205,0.818,0.0777,0.388,104.315,"audio_features","1kI7gQPOHJRrQWMyDvYdUW","spotify:track:1kI7gQPOHJRrQWMyDvYdUW","https://api.spotify.com/v1/tracks/1kI7gQPOHJRrQWMyDvYdUW","https://api.spotify.com/v1/audio-analysis/1kI7gQPOHJRrQWMyDvYdUW",588382,4,1988-09-07,6,"Metallica",1988,"...And Justice For All","...And Justice For All 1988"
"28",5,5,4,5,5,7,3,11,13,11,"Dyers Eve","...And Justice For All","Dyers Eve (Remastered)","4bAQzjDk9ONZ8gvm5YKEGE","Metallica","...And Justice For All",0.404,0.948,6,-7.252,0,0.0604,1.92e-05,0.0405,0.0773,0.701,96.789,"audio_features","4bAQzjDk9ONZ8gvm5YKEGE","spotify:track:4bAQzjDk9ONZ8gvm5YKEGE","https://api.spotify.com/v1/tracks/4bAQzjDk9ONZ8gvm5YKEGE","https://api.spotify.com/v1/audio-analysis/4bAQzjDk9ONZ8gvm5YKEGE",313045,4,1988-09-07,6,"Metallica",1988,"...And Justice For All","...And Justice For All 1988"
"29",1,2,2,5,3,2,1,4,8,8,"Enter Sandman","Metallica (The Black Album)","Enter Sandman","5BIMPccDwShpXq784RJlJp","Metallica","Metallica",0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,"audio_features","5BIMPccDwShpXq784RJlJp","spotify:track:5BIMPccDwShpXq784RJlJp","https://api.spotify.com/v1/tracks/5BIMPccDwShpXq784RJlJp","https://api.spotify.com/v1/audio-analysis/5BIMPccDwShpXq784RJlJp",331573,4,1991-08-12,1,"Metallica",1991,"Metallica","Metallica 1991"
"30",5,2,3,5,4,4,1,7,7,9,"Sad But True","Metallica (The Black Album)","Sad But True","1Ug98CRiQYu7wiSym4uLY4","Metallica","Metallica",0.632,0.845,7,-6.336,1,0.0333,0.000773,0.00152,0.0618,0.433,89.232,"audio_features","1Ug98CRiQYu7wiSym4uLY4","spotify:track:1Ug98CRiQYu7wiSym4uLY4","https://api.spotify.com/v1/tracks/1Ug98CRiQYu7wiSym4uLY4","https://api.spotify.com/v1/audio-analysis/1Ug98CRiQYu7wiSym4uLY4",324560,4,1991-08-12,1,"Metallica",1991,"Metallica","Metallica 1991"
"31",2,1,4,2,1,3,1,1,7,2,"Holier Than Thou","Metallica (The Black Album)","Holier Than Thou","1kaB0BvQEmwHeAzNh4jziT","Metallica","Metallica",0.48,0.959,5,-6.227,1,0.0376,0.000288,0.674,0.0507,0.348,172.186,"audio_features","1kaB0BvQEmwHeAzNh4jziT","spotify:track:1kaB0BvQEmwHeAzNh4jziT","https://api.spotify.com/v1/tracks/1kaB0BvQEmwHeAzNh4jziT","https://api.spotify.com/v1/audio-analysis/1kaB0BvQEmwHeAzNh4jziT",227733,4,1991-08-12,1,"Metallica",1991,"Metallica","Metallica 1991"
"32",3,4,2,4,3,4,1,4,8,4,"The Unforgiven","Metallica (The Black Album)","The Unforgiven","2lF8jQFhIjpmQa501sYXxR","Metallica","Metallica",0.539,0.597,7,-9.581,1,0.0258,0.0108,0.00552,0.134,0.251,139.444,"audio_features","2lF8jQFhIjpmQa501sYXxR","spotify:track:2lF8jQFhIjpmQa501sYXxR","https://api.spotify.com/v1/tracks/2lF8jQFhIjpmQa501sYXxR","https://api.spotify.com/v1/audio-analysis/2lF8jQFhIjpmQa501sYXxR",387133,4,1991-08-12,1,"Metallica",1991,"Metallica","Metallica 1991"
"33",4,6,2,3,6,3,0,5,6,9,"Wherever I May Roam","Metallica (The Black Album)","Wherever I May Roam","49rcSzMayJhIwGf0CJCaxJ","Metallica","Metallica",0.554,0.816,11,-7.871,1,0.0353,0.000526,0.000711,0.0988,0.362,131.409,"audio_features","49rcSzMayJhIwGf0CJCaxJ","spotify:track:49rcSzMayJhIwGf0CJCaxJ","https://api.spotify.com/v1/tracks/49rcSzMayJhIwGf0CJCaxJ","https://api.spotify.com/v1/audio-analysis/49rcSzMayJhIwGf0CJCaxJ",404240,4,1991-08-12,1,"Metallica",1991,"Metallica","Metallica 1991"
"34",3,6,1,2,3,2,2,5,3,9,"Through The Never","Metallica (The Black Album)","Through The Never","0K8hmlY7fVZLRp3R1JnWLT","Metallica","Metallica",0.391,0.929,4,-6.773,0,0.0426,0.00742,0.382,0.183,0.524,93.919,"audio_features","0K8hmlY7fVZLRp3R1JnWLT","spotify:track:0K8hmlY7fVZLRp3R1JnWLT","https://api.spotify.com/v1/tracks/0K8hmlY7fVZLRp3R1JnWLT","https://api.spotify.com/v1/audio-analysis/0K8hmlY7fVZLRp3R1JnWLT",244400,4,1991-08-12,1,"Metallica",1991,"Metallica","Metallica 1991"
"35",1,1,0,0,0,0,0,1,1,0,"Nothing Else Matters","Metallica (The Black Album)","Nothing Else Matters","10igKaIKsSB6ZnWxPxPvKO","Metallica","Metallica",0.558,0.364,4,-11.258,0,0.0265,0.0505,5.02e-06,0.0753,0.17,142.171,"audio_features","10igKaIKsSB6ZnWxPxPvKO","spotify:track:10igKaIKsSB6ZnWxPxPvKO","https://api.spotify.com/v1/tracks/10igKaIKsSB6ZnWxPxPvKO","https://api.spotify.com/v1/audio-analysis/10igKaIKsSB6ZnWxPxPvKO",388733,3,1991-08-12,1,"Metallica",1991,"Metallica","Metallica 1991"
"36",2,4,2,3,5,1,3,3,4,9,"Of Wolf And Man","Metallica (The Black Album)","Of Wolf And Man","1cojSYj0ugS7tmcwKIxMX4","Metallica","Metallica",0.627,0.752,5,-7.691,1,0.0346,0.000881,0.0299,0.105,0.472,121.775,"audio_features","1cojSYj0ugS7tmcwKIxMX4","spotify:track:1cojSYj0ugS7tmcwKIxMX4","https://api.spotify.com/v1/tracks/1cojSYj0ugS7tmcwKIxMX4","https://api.spotify.com/v1/audio-analysis/1cojSYj0ugS7tmcwKIxMX4",256600,4,1991-08-12,1,"Metallica",1991,"Metallica","Metallica 1991"
"37",4,6,3,4,9,5,1,8,6,10,"The God That Failed","Metallica (The Black Album)","The God That Failed","0h26wQZD5GoSvK5zZuv69E","Metallica","Metallica",0.563,0.8,8,-6.565,1,0.039,0.000477,0.000523,0.118,0.431,83.09,"audio_features","0h26wQZD5GoSvK5zZuv69E","spotify:track:0h26wQZD5GoSvK5zZuv69E","https://api.spotify.com/v1/tracks/0h26wQZD5GoSvK5zZuv69E","https://api.spotify.com/v1/audio-analysis/0h26wQZD5GoSvK5zZuv69E",308533,4,1991-08-12,1,"Metallica",1991,"Metallica","Metallica 1991"
"38",4,2,4,7,4,4,1,3,9,6,"My Friend Of Misery","Metallica (The Black Album)","My Friend Of Misery","6YwqziI3H71IMishKRTHHg","Metallica","Metallica",0.584,0.816,9,-8.101,0,0.0346,0.000297,0.0151,0.102,0.361,119.534,"audio_features","6YwqziI3H71IMishKRTHHg","spotify:track:6YwqziI3H71IMishKRTHHg","https://api.spotify.com/v1/tracks/6YwqziI3H71IMishKRTHHg","https://api.spotify.com/v1/audio-analysis/6YwqziI3H71IMishKRTHHg",409640,4,1991-08-12,1,"Metallica",1991,"Metallica","Metallica 1991"
"39",5,1,3,6,1,7,1,3,10,3,"The Struggle Within","Metallica (The Black Album)","The Struggle Within","6RlsFZUCF3bU4NE7BjpDXr","Metallica","Metallica",0.475,0.924,0,-7.351,1,0.0502,0.000447,0.0408,0.227,0.513,98.843,"audio_features","6RlsFZUCF3bU4NE7BjpDXr","spotify:track:6RlsFZUCF3bU4NE7BjpDXr","https://api.spotify.com/v1/tracks/6RlsFZUCF3bU4NE7BjpDXr","https://api.spotify.com/v1/audio-analysis/6RlsFZUCF3bU4NE7BjpDXr",233893,4,1991-08-12,1,"Metallica",1991,"Metallica","Metallica 1991"
"40",2,0,3,4,0,4,0,2,5,1,"The House Jack Built","Load","The House Jack Built","4GgHgoto2yRwvFk25vujpZ","Metallica","Load",0.277,0.863,4,-5.378,1,0.0343,1.51e-05,0.00372,0.134,0.276,94.044,"audio_features","4GgHgoto2yRwvFk25vujpZ","spotify:track:4GgHgoto2yRwvFk25vujpZ","https://api.spotify.com/v1/tracks/4GgHgoto2yRwvFk25vujpZ","https://api.spotify.com/v1/audio-analysis/4GgHgoto2yRwvFk25vujpZ",398960,4,1996-06-04,1,"Metallica",1996,"Load","Load 1996"
"41",7,1,5,7,1,4,2,2,10,3,"Until It Sleeps","Load","Until It Sleeps","63aVbch5VRXtQnCITdeDTZ","Metallica","Load",0.562,0.919,8,-4.458,0,0.0293,0.000223,0.113,0.142,0.728,113.357,"audio_features","63aVbch5VRXtQnCITdeDTZ","spotify:track:63aVbch5VRXtQnCITdeDTZ","https://api.spotify.com/v1/tracks/63aVbch5VRXtQnCITdeDTZ","https://api.spotify.com/v1/audio-analysis/63aVbch5VRXtQnCITdeDTZ",269573,4,1996-06-04,1,"Metallica",1996,"Load","Load 1996"
"42",1,1,1,0,2,1,1,2,3,8,"King Nothing","Load","King Nothing","140u2dqlZbpi4ZLgeolKqA","Metallica","Load",0.528,0.909,8,-5.712,1,0.0381,7.77e-05,0.00959,0.0891,0.349,112.083,"audio_features","140u2dqlZbpi4ZLgeolKqA","spotify:track:140u2dqlZbpi4ZLgeolKqA","https://api.spotify.com/v1/tracks/140u2dqlZbpi4ZLgeolKqA","https://api.spotify.com/v1/audio-analysis/140u2dqlZbpi4ZLgeolKqA",328133,4,1996-06-04,1,"Metallica",1996,"Load","Load 1996"
"43",1,2,2,3,1,3,2,3,6,5,"Hero Of The Day","Load","Hero Of The Day","5ktyEZbrgBEePsu6MW5Cvw","Metallica","Load",0.351,0.9,8,-7.146,1,0.0357,0.000107,0.0262,0.11,0.777,116.023,"audio_features","5ktyEZbrgBEePsu6MW5Cvw","spotify:track:5ktyEZbrgBEePsu6MW5Cvw","https://api.spotify.com/v1/tracks/5ktyEZbrgBEePsu6MW5Cvw","https://api.spotify.com/v1/audio-analysis/5ktyEZbrgBEePsu6MW5Cvw",261693,4,1996-06-04,1,"Metallica",1996,"Load","Load 1996"
"44",2,1,2,2,2,1,1,3,4,3,"Bleeding Me","Load","Bleeding Me","2IenDzi8pYn8c4WRteZai0","Metallica","Load",0.391,0.761,1,-6.062,1,0.0319,0.000891,0.0301,0.128,0.247,115.723,"audio_features","2IenDzi8pYn8c4WRteZai0","spotify:track:2IenDzi8pYn8c4WRteZai0","https://api.spotify.com/v1/tracks/2IenDzi8pYn8c4WRteZai0","https://api.spotify.com/v1/audio-analysis/2IenDzi8pYn8c4WRteZai0",498133,4,1996-06-04,1,"Metallica",1996,"Load","Load 1996"
